word,root
abiaby,aby
abiliana,abily
fiabiliana,abily
fiabily,abily
habiliana,abily
iabiliana,abily
miabily,abily
mpiabily,abily
aboabo,abo
aboina,abo
abonabo,abo
fanabo,abo
haabo,abo
haboa,abo
haboana,abo
habosana,abo
mahaabo,abo
manabo,abo
miabo,abo
mihaabo,abo
piabo,abo
aboboina,abobo
manabobo,abobo
abonibony,abony
abonina,abony
anaboniana,abony
fanaboniana,abony
fanabony,abony
mahabony,abony
mampanabony,abony
manabony,abony
mifanabony,abony
mpanabony,abony
voabony,abony
abosina,abosy
anabosiana,abosy
fanabosiana,abosy
fanabosy,abosy
mahabosy,abosy
manabosy,abosy
mpanabosy,abosy
voabosy,abosy
aada,ada
fiadana,ada
mampiada,ada
miada,ada
mihamiada,ada
piada,ada
adaladala,adala
adalaina,adala
adalana,adala
ampanadala,adala
anadalana,adala
ankadala,adala
fahadalana,adala
fanadala,adala
fanadalana,adala
fankadala,adala
fiadala,adala
fiadalana,adala
fihadala,adala
hadala,adala
hadalana,adala
iadalana,adala
mahadala,adala
mampiadala,adala
mampihadala,adala
manadala,adala
mankadala,adala
miadala,adala
mifankadala,adala
mihadala,adala
mpanadala,adala
mpiadala,adala
panadala,adala
pifanadala,adala
voaadala,adala
voadala,adala
adanadana,adana
adanina,adana
ampiadanina,adana
anadanana,adana
fiadana,adana
fiadanana,adana
iadanana,adana
mahafiadana,adana
mampiadana,adana
manadana,adana
miadana,adana
mpiadana,adana
tafaadana,adana
manadary,adary
adiady,ady
adine,ady
adivina,ady
ampiadiana,ady
ampiadina,ady
fampiadiana,ady
fiadiana,ady
fiadina,ady
fiady,ady
iadiana,ady
mahady,ady
mampiady,ady
mampifanady,ady
miady,ady
mifampiady,ady
mifanady,ady
mpampiady,ady
mpiady,ady
panady,ady
voaady,ady
adidina,adidy
anadidiana,adidy
fanadidiana,adidy
fanadidy,adidy
fiadidiana,adidy
fiadidy,adidy
iadidiana,adidy
mampanadidy,adidy
mampifanadidy,adidy
manadidy,adidy
miadidy,adidy
mifanadidy,adidy
mpanadidy,adidy
mpiadidy,adidy
adinadina,adina
adinina,adina
anadinana,adina
fanadina,adina
fanadinana,adina
madina,adina
mampanadina,adina
mampifanadina,adina
manadina,adina
miadina,adina
mifanadina,adina
mpanadina,adina
mpiadina,adina
voadina,adina
ampiaine,adisy
miado,ado
aadokadoka,adokadoka
fiadokadohana,adokadoka
fiadokadoka,adokadoka
iadokadohana,adokadoka
miadokadoka,adokadoka
mpiadokadoka,adokadoka
adonadonana,adonadona
adonadonina,adonadona
fiadonadona,adonadona
fiadonadonana,adonadona
iadonadonana,adonadona
miadonadona,adonadona
mpiadonadona,adonadona
adraina,adra
fiadra,adra
fiadrana,adra
iadrana,adra
mampiadra,adra
miadra,adra
mpiadra,adra
miadrao,adrao
fiafa,afa
fiafana,afa
iafana,afa
miafa,afa
miafana,afa
afahana,afaka
afahina,afaka
afakafaka,afaka
ahafahana,afaka
anafahana,afaka
fahafahana,afaka
fanafahana,afaka
fanafaka,afaka
iafahana,afaka
mahafaka,afaka
mampanafaka,afaka
mampifanafaka,afaka
manafaka,afaka
miafaka,afaka
mifanafaka,afaka
mpanafaka,afaka
mahaafake,afake
mampanafake,afake
miafake,afake
mifanafake,afake
mihaafake,afake
panafake,afake
piafake,afake
pifanafake,afake
afanana,afana
anafanana,afana
fanafana,afana
fanafanana,afana
fiafana,afana
fiafanana,afana
iafanana,afana
mampanafana,afana
mampifanafana,afana
manafana,afana
miafana,afana
mifanafana,afana
mpanafana,afana
voafana,afana
afatrafatra,afatra
anafatrafarana,afatrafatra
fiafatrafarana,afatrafatra
fiafatrafatra,afatrafatra
iafatrafarana,afatrafatra
manafatrafatra,afatrafatra
miafatrafatra,afatrafatra
mpiafatrafatra,afatrafatra
aferafera,afera
miafy,afy
afenina,afina
afinafina,afina
anafenana,afina
fanafenana,afina
fanafina,afina
fiafenana,afina
fiafina,afina
iafenana,afina
mahafina,afina
mampanafina,afina
mampiafina,afina
mampifanafina,afina
manafina,afina
miafina,afina
mifanafina,afina
mpanafina,afina
mpiafina,afina
voafina,afina
aferina,afitra
afitrafitra,afitra
anaferana,afitra
fiaferana,afitra
fiafitra,afitra
iaferana,afitra
mahafitra,afitra
mampiafitra,afitra
manafitra,afitra
miafitra,afitra
mpiafitra,afitra
voafitra,afitra
kiafoafo,afo
fafokafohana,afokafoka
fiafokafohana,afokafoka
fiafokafoka,afokafoka
miafokafoka,afokafoka
mpiafokafoka,afokafoka
afonina,afona
anafonana,afona
iafonana,afona
manafona,afona
miafona,afona
fiafonafona,afonafona
fiafonafonana,afonafona
iafonafonana,afonafona
miafonafona,afonafona
mpiafonafona,afonafona
afovoanina,afovoany
anafovoanana,afovoany
fanafovoanana,afovoany
fanafovoany,afovoany
manafovoany,afovoany
ahanahana,ahana
anahanana,ahana
fanahana,ahana
fanahanana,ahana
fiahana,ahana
fiahanana,ahana
iahanana,ahana
manahana,ahana
miahana,ahana
mpanahana,ahana
mpiahana,ahana
tafahana,ahana
miahao,ahao
miahatra,ahatra
fanahe,ahe
mahemahe,ahe
mampiaheahe,ahe
ahiahy,ahy
ahina,ahy
anahiana,ahy
fanahiana,ahy
fanahy,ahy
fiahiana,ahy
fiahy,ahy
iahiana,ahy
manahy,ahy
miahy,ahy
mpanahy,ahy
mpiahy,ahy
voahy,ahy
ahoaho,aho
ahoina,aho
ahoizana,aho
ahoahoina,ahoaho
fiahoahoana,ahoaho
iahoahoana,ahoaho
manahoaho,ahoaho
miahoaho,ahoaho
mpiahoaho,ahoaho
manahoana,ahoana
manaholo,aholo
ahonahona,ahona
anahonana,ahona
fanahona,ahona
fanahonana,ahona
fiahona,ahona
fiahonana,ahona
iahonana,ahona
mahahona,ahona
mampanahona,ahona
mampifanahona,ahona
manahona,ahona
miahona,ahona
mifanahona,ahona
mpanahona,ahona
mpiahona,ahona
tafahona,ahona
iahonahonana,ahonahona
miahonahona,ahonahona
ahorina,ahotra
ahotrahotra,ahotra
fiahorana,ahotra
fiahotra,ahotra
iahorana,ahotra
mahahotra,ahotra
miahotra,ahotra
mpiahotra,ahotra
tafahotra,ahotra
voahotra,ahotra
aay,ay
mahaay,ay
mihamiay,ay
pampiay,ay
piay,ay
aihina,aika
aikaika,aika
anaihana,aika
fanaihana,aika
fanaika,aika
fiaihana,aika
fiaika,aika
iaihana,aika
mahaika,aika
maika,aika
mampanaika,aika
mampifanaika,aika
manaika,aika
miaika,aika
mifanaika,aika
mpanaika,aika
mpiaika,aika
tafaika,aika
voaika,aika
ampifanaikena,aiky
anaikena,aiky
fanaikena,aiky
fanaiky,aiky
fiaikena,aiky
fiaiky,aiky
fifanaikena,aiky
iaikena,aiky
ifanaikena,aiky
mampiaiky,aiky
mampifanaiky,aiky
manaiky,aiky
miaiky,aiky
mifanaiky,aiky
mpanaiky,aiky
mpiaiky,aiky
voaiky,aiky
ainaina,aina
fampiaina,aina
fampiainana,aina
fiaina,aina
fiainana,aina
iainana,aina
iainkiainana,aina
ifampiaina,aina
mahaina,aina
mampiaina,aina
miaina,aina
mpiaina,aina
aingaina,ainga
aingainga,ainga
anaingana,ainga
fanainga,ainga
fanaingana,ainga
fiainga,ainga
fiaingana,ainga
iaingana,ainga
ingaina,ainga
mampanainga,ainga
mampifanainga,ainga
manainga,ainga
miainga,ainga
mifanainga,ainga
mpanainga,ainga
mpiainga,ainga
tafaainga,ainga
voainga,ainga
miaingiaingy,aingiaingy
mpiaingiaingy,aingiaingy
aainginaingina,ainginaingina
fanainginaingina,ainginaingina
fiainginaingenana,ainginaingina
fiainginaingina,ainginaingina
iainginaingenana,ainginaingina
manainginaingina,ainginaingina
miainginaingina,ainginaingina
mpanainginaingina,ainginaingina
mpiainginaingina,ainginaingina
tafaainginaingina,ainginaingina
aingitraingitra,aingitra
fiaingitra,aingitra
miaingitra,aingitra
mpiaingitra,aingitra
miaingitraingitra,aingitraingitra
anairanana,airana
manairana,airana
aisiaisy,aisy
fiaisiaisiana,aisiaisy
fiaisiaisy,aisiaisy
iaisiaisiana,aisiaisy
miaisiaisy,aisiaisy
mpiaisiaisy,aisiaisy
aisorina,aisotra
anaisorana,aisotra
iaisorana,aisotra
manaisotra,aisotra
miaisotra,aisotra
voaisotra,aisotra
manaito,aito
mankaivana,aivana
anamaivohana,aivoka
fanamaivohana,aivoka
fanamaivoka,aivoka
maivoka,aivoka
manaivoka,aivoka
mpanamaivoka,aivoka
mankaiza,aiza
taiza,aiza
anaizanana,aizana
fanaizana,aizana
fanaizanana,aizana
manaizana,aizana
mifanaizana,aizana
maizy,aizy
manamaizy,aizy
manajima,ajima
manjima,ajima
mahajo,ajo
fiajokajohana,ajokajoka
fiajokajoka,ajokajoka
iajokajohana,ajokajoka
miajokajoka,ajokajoka
mpiajokajoka,ajokajoka
akaina,aka
akaka,aka
akana,aka
akavina,aka
ampakana,aka
anakana,aka
anakavana,aka
faka,aka
fakana,aka
fanaka,aka
fanakana,aka
fanakavana,aka
fiaka,aka
fiakavana,aka
haka,aka
iakavana,aka
maka,aka
mampaka,aka
mampanaka,aka
mampifanaka,aka
mampivanaka,aka
manaka,aka
miaka,aka
mifampaka,aka
mifanampaka,aka
mpaka,aka
mpanaka,aka
mpiaka,aka
akaikena,akaiky
akaikezina,akaiky
akaikikaiky,akaiky
ampifanakaikezina,akaiky
anakaikezana,akaiky
fanakaikezana,akaiky
fanakaiky,akaiky
fifanakaikezana,akaiky
mampifanakaiky,akaiky
manakaiky,akaiky
mifanakaiky,akaiky
mihakaiky,akaiky
mpanakaiky,akaiky
voakaiky,akaiky
akalanina,akalana
anakalanana,akalana
manakalana,akalana
voakalana,akalana
akanakana,akana
miakana,akana
tafakana,akana
akangaina,akanga
akangakanga,akanga
anakangana,akanga
fanakanga,akanga
fanakangana,akanga
fiakanga,akanga
fiakangana,akanga
iakangana,akanga
mampanakanga,akanga
manakanga,akanga
miakanga,akanga
mifanakanga,akanga
mpanakanga,akanga
mpiakanga,akanga
mekany,akany
mifanakany,akany
akanjoana,akanjo
akanjoina,akanjo
akanjokanjo,akanjo
ampiakanjoana,akanjo
ampiakanjoina,akanjo
anakanjoana,akanjo
fanakanjo,akanjo
fanakanjoana,akanjo
fiakanjo,akanjo
fiakanjoana,akanjo
iakanjoana,akanjo
mahakanjo,akanjo
mampiakanjo,akanjo
manakanjo,akanjo
miakanjo,akanjo
mpanakanjo,akanjo
mpiakanjo,akanjo
pampiakanjo,akanjo
piakanjo,akanjo
tafakanjo,akanjo
voakanjo,akanjo
akarina,akatra
ampakarana,akatra
ampakarina,akatra
ampiakarana,akatra
ampiakarina,akatra
ampimakarina,akatra
fampakarana,akatra
fiakarana,akatra
fiakatra,akatra
iakarana,akatra
mampakatra,akatra
mampiakatra,akatra
miakatra,akatra
mpampakatra,akatra
mpiakatra,akatra
tafakatra,akatra
voakatra,akatra
voampakatra,akatra
manakatry,akatry
aakatse,akatse
mahakatse,akatse
mampiakatse,akatse
manakatse,akatse
miakatse,akatse
mihamiakatse,akatse
panakatse,akatse
piakatse,akatse
tafakatse,akatse
voaakatse,akatse
fiake,ake
mampiake,ake
miake,ake
akekena,akeky
akekezina,akeky
akekikeky,akeky
ampifanakekezina,akeky
anakekena,akeky
anakekezana,akeky
fanakekena,akeky
fanakekezana,akeky
fanakeky,akeky
mampanakeky,akeky
mampifanakeky,akeky
manakeky,akeky
mifanakeky,akeky
mihakeky,akeky
mpanakeky,akeky
voakeky,akeky
mampiakenje,akenje
miakenje,akenje
piakenje,akenje
voaekenje,akenje
akisakisa,akisa
miakisakisa,akisa
akoako,ako
anakoana,ako
fanako,ako
fanakoana,ako
manako,ako
miako,ako
manakofa,akofa
akoraina,akora
anakorana,akora
fanakora,akora
fanakorana,akora
mahakora,akora
mampanakora,akora
mampifanakora,akora
manakora,akora
mifanakora,akora
mpanakora,akora
voakora,akora
akoriasaina,akoriasa
anakoriasana,akoriasa
fanakoriasana,akoriasa
fiakoriasana,akoriasa
iakoriasana,akoriasa
manakoriasa,akoriasa
miakoriasa,akoriasa
mikoriasa,akoriasa
makotra,akotra
akotsoina,akotso
anakotsoana,akotso
manakotso,akotso
miakotso,akotso
voakotso,akotso
alaina,ala
alamenga,ala
alana,ala
ampanalaina,ala
ampangala,ala
ampiala,ala
analana,ala
angalana,ala
fampangala,ala
fampiala,ala
fanala,ala
fanalana,ala
fangalana,ala
fiala,ala
fialana,ala
fifanalana,ala
ialana,ala
ifanalana,ala
mampanala,ala
mampiala,ala
manala,ala
miala,ala
mianala,ala
mifanala,ala
mihamiala,ala
mpanala,ala
mpiala,ala
mpianala,ala
pangala,ala
piala,ala
voala,ala
aladirina,aladitra
ahalahelorana,alahelo
alahelohelo,alahelo
alahelovana,alahelo
ampalahelovana,alahelo
ampalahelovina,alahelo
fahalahelovana,alahelo
falahelo,alahelo
falahelovana,alahelo
mafalahelo,alahelo
mahafalahelo,alahelo
mahalahelo,alahelo
malahelo,alahelo
mampalahelo,alahelo
mifampalahelo,alahelo
palahelo,alahelo
alafana,alaka
falaka,alaka
malaka,alaka
mialaka,alaka
mpalaka,alaka
alakamoina,alakamo
alakasina,alakasy
aalalana,alalana
alalanina,alalana
analalanana,alalana
fanalalana,alalana
fanalalanana,alalana
mampanalalana,alalana
mampifanalalana,alalana
manalalana,alalana
mifanalalana,alalana
mpanalalana,alalana
voalalana,alalana
alanalanina,alanalana
analanalanana,alanalana
fanalanalana,alanalana
fanalanalanana,alanalana
fialanalana,alanalana
fialanalanana,alanalana
ialanalanana,alanalana
manalanalana,alanalana
mialanalana,alanalana
mpanalanalana,alanalana
mpialanalana,alanalana
voalanalana,alanalana
talaotra,alaotra
manale,ale
miale,ale
mihaale,ale
alikaina,alika
alikalika,alika
analikana,alika
fanalika,alika
fanalikana,alika
fialika,alika
fifanalika,alika
mahaalika,alika
mahalika,alika
mampanalika,alika
mampifanalika,alika
manalika,alika
mifanalika,alika
mpanalika,alika
panalika,alika
voafanalika,alika
mialimbolo,alimbolo
alinalina,alina
alinina,alina
analinana,alina
fahalemana,alina
fanalina,alina
fanalinana,alina
fialemana,alina
fialina,alina
fialinana,alina
halemana,alina
ialemana,alina
ialinana,alina
lahalina,alina
mahalina,alina
mampanalina,alina
mampifanalina,alina
manalina,alina
mialina,alina
mifanalina,alina
mihalina,alina
mpanalina,alina
mpialina,alina
nankalina,alina
tsialinalina,alina
alozina,alo
analozana,alo
fanalozana,alo
fialo,alo
fialozana,alo
ialozana,alo
kialo,alo
mampialo,alo
manalo,alo
mialo,alo
mifampialo,alo
mpanalo,alo
mpialo,alo
pialo,alo
pifampialo,alo
voalo,alo
alohaloha,aloha
analohana,aloha
angaloha,aloha
fanaloha,aloha
fanalohana,aloha
fanalohany,aloha
fialoha,aloha
ialohana,aloha
mahaloha,aloha
mampanaloha,aloha
manaloha,aloha
mihaaloha,aloha
mpanaloha,aloha
mpialoha,aloha
panaloha,aloha
pialoha,aloha
taloha,aloha
voaloha,aloha
voalohany,aloha
aaloka,aloka
alofana,aloka
alokaloka,aloka
analofana,aloka
fanalofana,aloka
fialofana,aloka
fialoka,aloka
ialofana,aloka
maloka,aloka
mampanaloka,aloka
mampifanaloka,aloka
manaloka,aloka
mialoka,aloka
mifanaloka,aloka
mpanaloka,aloka
mpialoka,aloka
tafaloka,aloka
voaloka,aloka
aaloke,aloke
faaloke,aloke
mahaaloke,aloke
maloke,aloke
mampialoke,aloke
manaloke,aloke
mialoke,aloke
mihamaloke,aloke
pialoke,aloke
pifampialoke,aloke
voaaloke,aloke
alonina,alona
analonana,alona
fanalona,alona
fanalonana,alona
fialona,alona
fialonana,alona
ialonana,alona
mampialona,alona
manalona,alona
mialona,alona
mifampialona,alona
mpialona,alona
mampialotra,alotra
manalotry,alotry
mialotry,alotry
fanamalona,amalona
manamalona,amalona
mpanamalona,amalona
miamanamana,amanamana
amaniana,amany
famaniana,amany
famany,amany
mamany,amany
mampamany,amany
mifamany,amany
mpamany,amany
pamany,amany
voamany,amany
amatomato,amato
anamatosana,amato
manamato,amato
piamato,amato
ambakaina,ambaka
ambakambaka,ambaka
ambakavaka,ambaka
anambakana,ambaka
fambaka,ambaka
fanambaka,ambaka
fanambakana,ambaka
fiambaka,ambaka
fiambakana,ambaka
fifanambaka,ambaka
iambakana,ambaka
mampanambaka,ambaka
mampifanambaka,ambaka
manambaka,ambaka
miambaka,ambaka
mifanambaka,ambaka
mpanambaka,ambaka
mpiambaka,ambaka
panambaka,ambaka
pifanambaka,ambaka
voambaka,ambaka
ambalambala,ambala
ambalambalaina,ambalambala
fiambalambala,ambalambala
fiambalambalana,ambalambala
iambalambalana,ambalambala
miambalambala,ambalambala
mpiambalambala,ambalambala
ambanambana,ambana
ambanana,ambana
anambanana,ambana
fanambana,ambana
fanambanana,ambana
mahambana,ambana
mampanambana,ambana
mampifanambana,ambana
manambana,ambana
mifanambana,ambana
mpanambana,ambana
voambana,ambana
mahambane,ambane
mampanambane,ambane
mampiambane,ambane
manambane,ambane
miambane,ambane
mifampanambane,ambane
mifanambane,ambane
mihaambane,ambane
mihambane,ambane
panambane,ambane
piambane,ambane
pifampanambane,ambane
pifanambane,ambane
voambane,ambane
ambanimbany,ambany
ambanina,ambany
anambaniana,ambany
fahambaniana,ambany
fanambaniana,ambany
iambaniana,ambany
mahambany,ambany
mampanambany,ambany
mampifanambany,ambany
manambany,ambany
miambany,ambany
mifanambany,ambany
mpanambany,ambany
tambany,ambany
voambany,ambany
ambarambara,ambara
ampanambara,ambara
anambarana,ambara
fambara,ambara
fampanambara,ambara
fanambara,ambara
fanambarana,ambara
fifanambara,ambara
mampanambara,ambara
mampifanambara,ambara
manambara,ambara
mifampanambara,ambara
mifanambara,ambara
mpanambara,ambara
panambara,ambara
pifampanambara,ambara
pifanambara,ambara
voambara,ambara
ambarakariva,ambaraka
ambatrambatra,ambatra
fiambarana,ambatra
fiambatra,ambatra
iambarana,ambatra
miambatra,ambatra
mpiambatra,ambatra
aambe,ambe
faambe,ambe
mahambe,ambe
mampiambe,ambe
miambe,ambe
mifampiambe,ambe
mihamiambe,ambe
piambe,ambe
pifampiambe,ambe
voaambe,ambe
ambiana,amby
manambia,ambia
ambenana,ambina
ambinambina,ambina
ambinina,ambina
anambinana,ambina
fanambina,ambina
fanambinana,ambina
fiambenana,ambina
fiambina,ambina
iambenana,ambina
