word,morphemes
ababoka,"[""a"", ""baboka""]"
ababoke,"[""a"", ""baboke""]"
ababy,"[""a"", ""baby""]"
abae,"[""a"", ""bae""]"
abafoka,"[""a"", ""bafoka""]"
abaha,"[""a"", ""baha""]"
abahana,"[""a"", ""bahana""]"
abaibay,"[""a"", ""baibay""]"
abaikabaika,"[""a"", ""baika"", ""baika""]"
abaiko,"[""a"", ""baiko""]"
abailoka,"[""a"", ""bailoka""]"
abaingo,"[""a"", ""baingo""]"
abaingobaingoka,"[""a"", ""baingoka"", ""baingoka""]"
abaka,"[""a"", ""baka""]"
abalabala,"[""a"", ""bala"", ""bala""]"
abaliaka,"[""a"", ""baliaka""]"
abalihaoke,"[""a"", ""balihaoke""]"
abanabana,"[""a"", ""bana"", ""bana""]"
abanaka,"[""a"", ""banaka""]"
abandrina,"[""a"", ""bandrina""]"
abanjina,"[""a"", ""banjina""]"
abara,"[""a"", ""bara""]"
abarabay,"[""a"", ""barabay""]"
abaradaka,"[""a"", ""baradaka""]"
abaraingo,"[""a"", ""baraingo""]"
abarakaika,"[""a"", ""barakaika""]"
abarake,"[""a"", ""barake""]"
abarara,"[""a"", ""barara""]"
abarareoka,"[""a"", ""barareoka""]"
abaratsaike,"[""a"", ""baratsaike""]"
abarazy,"[""a"", ""barazy""]"
abarera,"[""a"", ""barera""]"
abaribary,"[""a"", ""bary"", ""bary""]"
abata,"[""a"", ""bata""]"
abazabaza,"[""a"", ""bazabaza""]"
abedibedy,"[""a"", ""bedy"", ""bedy""]"
abehambehana,"[""a"", ""behambehana""]"
abengobengo,"[""a"", ""bengobengo""]"
abetroka,"[""a"", ""betroka""]"
abiaby,"[""aby"", ""aby""]"
abidabida,"[""a"", ""bidabida""]"
abiliana,"[""abily"", ""ana""]"
abiribiry,"[""a"", ""biribiry""]"
abirioka,"[""a"", ""birioka""]"
abiririoka,"[""a"", ""biririoka""]"
abisioka,"[""a"", ""bisioka""]"
abitaka,"[""a"", ""bitaka""]"
abitotse,"[""a"", ""bitotse""]"
abitsika,"[""a"", ""bitsika""]"
abitsobitsoka,"[""a"", ""bitsoka"", ""bitsoka""]"
abizizioka,"[""a"", ""bizizioka""]"
aboabo,"[""abo"", ""abo""]"
aboaboina,"[""abo"", ""abo"", ""ina""]"
aboadaboada,"[""a"", ""boada"", ""boada""]"
aboake,"[""a"", ""boake""]"
aboana,"[""a"", ""boana""]"
abobobobo,"[""a"", ""bobobobo""]"
aboboina,"[""abobo"", ""ina""]"
aboboka,"[""a"", ""boboka""]"
aboboke,"[""a"", ""boboke""]"
abodika,"[""a"", ""bodika""]"
aboeriboerika,"[""a"", ""boerika"", ""boerika""]"
aboerika,"[""a"", ""boerika""]"
abofaka,"[""a"", ""bofaka""]"
abohitra,"[""a"", ""bohitra""]"
aboiboika,"[""a"", ""boika"", ""boika""]"
aboika,"[""a"", ""boika""]"
aboina,"[""abo"", ""ina""]"
aboke,"[""a"", ""boke""]"
abokinake,"[""a"", ""bokinake""]"
abolaly,"[""a"", ""bolaly""]"
abolasitra,"[""a"", ""bolasitra""]"
abolidy,"[""a"", ""bolidy""]"
abolila,"[""a"", ""bolila""]"
abolisatra,"[""a"", ""bolisatra""]"
abolisatse,"[""a"", ""bolisatse""]"
abonaka,"[""a"", ""bonaka""]"
abonibony,"[""abony"", ""abony""]"
abonina,"[""abony"", ""ina""]"
abonoka,"[""a"", ""bonoka""]"
abontana,"[""a"", ""bontana""]"
abontsina,"[""a"", ""bontsina""]"
aborabora,"[""a"", ""borabora""]"
aboraka,"[""a"", ""boraka""]"
aboraraka,"[""a"", ""bo"", ""raraka""]"
aboredika,"[""a"", ""boredika""]"
aboreraka,"[""a"", ""boreraka""]"
aboretaka,"[""a"", ""bo"", ""retaka""]"
aboridana,"[""a"", ""bo"", ""ridana""]"
aboroaka,"[""a"", ""boroaka""]"
abororoaka,"[""a"", ""bororoaka""]"
aborosy,"[""a"", ""borosy""]"
aborotsaka,"[""a"", ""bo"", ""rotsaka""]"
abosasaka,"[""a"", ""bosasaka""]"
abosesika,"[""a"", ""bo"", ""sesika""]"
abosibosika,"[""a"", ""bosika"", ""bosika""]"
abosika,"[""a"", ""bosika""]"
abosina,"[""abosy"", ""ina""]"
abotetaka,"[""a"", ""botetaka""]"
abotitike,"[""a"", ""botitike""]"
abozeka,"[""a"", ""bozeka""]"
adabadaba,"[""a"", ""daba"", ""daba""]"
adaboboka,"[""a"", ""daboboka""]"
adaboka,"[""a"", ""daboka""]"
adaboke,"[""a"", ""daboke""]"
adadaboka,"[""a"", ""dadaboka""]"
adadina,"[""a"", ""dadina""]"
adaka,"[""a"", ""daka""]"
adalaboboka,"[""a"", ""dalaboboka""]"
adaladala,"[""adala"", ""adala""]"
adaladalaina,"[""adala"", ""adala"", ""ina""]"
adalaina,"[""adala"", ""ina""]"
adalana,"[""adala"", ""ana""]"
adanadana,"[""a"", ""danadana""]"
adanadana,"[""adana"", ""adana""]"
adangadanga,"[""a"", ""danga"", ""danga""]"
adangana,"[""a"", ""dangana""]"
adanina,"[""adana"", ""ina""]"
adaraboka,"[""a"", ""d"", ""ar"", ""aboka""]"
adaroboka,"[""a"", ""da"", ""roboka""]"
adaroka,"[""a"", ""daroka""]"
adarona,"[""a"", ""darona""]"
adasidasy,"[""a"", ""dasidasy""]"
aday,"[""a"", ""day""]"
adeboke,"[""a"", ""deboke""]"
adedadeda,"[""a"", ""deda"", ""deda""]"
adedaka,"[""a"", ""dedaka""]"
adefotse,"[""a"", ""defotse""]"
adeka,"[""a"", ""deka""]"
ademba,"[""a"", ""demba""]"
adembana,"[""a"", ""dembana""]"
aderadera,"[""a"", ""dera"", ""dera""]"
adero,"[""a"", ""dero""]"
adeza,"[""a"", ""deza""]"
