word,root,rule,base
aada,ada,a~,ada
aadokadoka,adokadoka,a~,adokadoka
aainginaingina,ainginaingina,a~,ainginaingina
aakatse,akatse,a~,akatse
aalalana,alalana,a~,alalana
aaloka,aloka,a~,aloka
aaloke,aloke,a~,aloke
aambe,ambe,a~,ambe
aampatra,ampatra,a~,ampatra
aampatse,ampatse,a~,ampatse
aanja,anja,a~,anja
aanjonanjona,anjonanjona,a~,anjonanjona
aankina,ankina,a~,ankina
aanky,anky,a~,anky
aantoke,antoke,a~,antoke
aantsona,antsona,a~,antsona
aapanapana,apana,a~,apanapana
aarake,arake,a~,arake
aare,are,a~,are
aaro,aro,a~,aro
aato,ato,a~,ato
aatoka,atoka,a~,atoka
aatokatoka,atoka,a~,atokatoka
aatrana,atrana,a~,atrana
aava,ava,a~,ava
aavotra,avotra,a~,avotra
aavotse,avotse,a~,avotse
aay,ay,a~,ay
ababoka,baboka,a~,baboka
ababoke,baboke,a~,baboke
ababy,baby,a~,baby
abae,bae,a~,bae
abafoka,bafoka,a~,bafoka
abaha,baha,a~,baha
abahana,bahana,a~,bahana
abaibay,baibay,a~,baibay
abaikabaika,baikabaika,a~,baikabaika
abaiko,baiko,a~,baiko
abailoka,bailoka,a~,bailoka
abaingo,baingo,a~,baingo
abaingobaingoka,baingobaingoka,a~,baingobaingoka
abaka,baka,a~,baka
abalabala,balabala,a~,balabala
abaliaka,baliaka,a~,baliaka
abalihaoke,balihaoke,a~,balihaoke
abanabana,banabana,a~,banabana
abanaka,banaka,a~,banaka
abandrina,bandrina,a~,bandrina
abanjina,banjina,a~,banjina
abara,bara,a~,bara
abarabay,barabay,a~,barabay
abaradaka,baradaka,a~,baradaka
abaraingo,baraingo,a~,baraingo
abarakaika,barakaika,a~,barakaika
abarake,barake,a~,barake
abarara,barara,a~,barara
abarareoka,barareoka,a~,barareoka
abaratsaike,baratsaike,a~,baratsaike
abarazy,barazy,a~,barazy
abarera,barera,a~,barera
abaribary,baribary,a~,baribary
abata,bata,a~,bata
abazabaza,bazabaza,a~,bazabaza
abedibedy,bedibedy,a~,bedibedy
abehambehana,behana,a~,behambehana
abengobengo,bengobengo,a~,bengobengo
abetroka,betroka,a~,betroka
abiaby,aby,~~,aby
