word,root,rule,base
amely,vely,a~,vely
amidy,vidy,a~,vidy
amono,vono,a~,vono
aada,ada,a~,ada
akasy,kasy,a~,kasy
asatrona,satrona,a~,satrona
aadokadoka,adokadoka,a~,adokadoka
akasika,kasika,a~,kasika
asatsoke,satsoke,a~,satsoke
aay,ay,a~,ay
akasikasy,kasy,a~,kasikasy
asava,sava,a~,sava
aainginaingina,ainginaingina,a~,ainginaingina
akasike,kasike,a~,kasike
asavembena,savembena,a~,savembena
aakatse,akatse,a~,akatse
akasoka,kasoka,a~,kasoka
asavenavena,savenavena,a~,savenavena
aalalana,alalana,a~,alalana
akatoke,katoke,a~,katoke
asaveravera,saveravera,a~,saveravera
aaloka,aloka,a~,aloka
akatona,katona,a~,katona
asavika,savika,a~,savika
aaloke,aloke,a~,aloke
akatraka,katraka,a~,katraka
asavily,savily,a~,savily
aambe,ambe,a~,ambe
akatraoka,katraoka,a~,katraoka
asavo,savo,a~,savo
aampatra,ampatra,a~,ampatra
akatroka,katroka,a~,katroka
asavoana,savoana,a~,savoana
aampatse,ampatse,a~,ampatse
akatsaka,katsaka,a~,katsaka
asavoka,savoka,a~,savoka
aanja,anja,a~,anja
akatsapoke,katsapoke,a~,katsapoke
asavoretaka,savoretaka,a~,savoretaka
aanjonanjona,anjonanjona,a~,anjonanjona
akatseke,katseke,a~,katseke
asavoritaka,savoritaka,a~,savoritaka
aanky,anky,a~,anky
akavitse,kavitse,a~,kavitse
asavorovoro,savorovoro,a~,savorovoro
aankina,ankina,a~,ankina
akefona,kefona,a~,kefona
asavovoka,savovoka,a~,savovoka
aantoke,antoke,a~,antoke
akehina,kehina,a~,kehina
asavovona,savovona,a~,savovona
aantsona,antsona,a~,antsona
akejokejo,kejokejo,a~,kejokejo
asazy,sazy,a~,sazy
aapanapana,apana,a~,apanapana
akemakema,kema,a~,kemakema
asazoka,sazoka,a~,sazoka
aarake,arake,a~,arake
akemo,kemo,a~,kemo
asebiseby,sebiseby,a~,sebiseby
aare,are,a~,are
akenda,kenda,a~,kenda
asedisedy,sedisedy,a~,sedisedy
aaro,aro,a~,aro
akendry,kendry,a~,kendry
asedra,sedra,a~,sedra
aato,ato,a~,ato
akentso,kentso,a~,kentso
asefaka,sefaka,a~,sefaka
aatoka,atoka,a~,atoka
akentsona,kentsona,a~,kentsona
asehaseha,sehaseha,a~,sehaseha
aatokatoka,atoka,a~,atokatoka
akepakepaka,kepakepaka,a~,kepakepaka
asehatra,sehatra,a~,sehatra
aatrana,atrana,a~,atrana
akepikepika,kepika,a~,kepikepika
aseho,seho,a~,seho
aava,ava,a~,ava
akepoka,kepoka,a~,kepoka
