word,rule,base
afahirano,a~,fahirano
atanjozotra,a~,tanjozotra
afangaroharo,a~,fangaroharo
avolimbolina,a~,volimbolina
fanirikiry,fan~,kirikiry
famolimbolina,fan~,volimbolina
fiandriandriana,fi~,andriandriana
fikaviavia,fi~,kaviavia
fiantsavily,fi~,antsavily
fisomoratsoratra,fi~,somoratsoratra
fikiribiby,fi~,kiribiby
fikirikiry,fi~,kirikiry
fibedabeda,fi~,bedabeda
fitalelaka,fi~,talelaka
fitanjozotra,fi~,tanjozotra
filahasa,fi~,lahasa
fitomandavana,fi~,tomandavana
fivolimbolina,fi~,volimbolina
hamaizina,ha~,maizina
hamasaka,ha~,masaka
inefapolo,in~,efapolo
kimaizimaizina,ki~,maizimaizina
misalahy,m~,isalahy
mamahirano,man~,fahirano
manirikiry,man~,kirikiry
mandahasa,man~,lahasa
mandahateny,man~,lahateny
mamolimbolina,man~,volimbolina
mamonifanja,man~,vonifanja
manandriandriana,man~,andriandriana
miisalahy,mi~,isalahy
miampaingo,mi~,ampaingo
miandalandalana,mi~,andalandalana
miandriandriana,mi~,andriandriana
mikanevokevoka,mi~,kanevokevoka
miantsavily,mi~,antsavily
mikaviavia,mi~,kaviavia
misomeditsedika,mi~,someditsedika
misomoratsoratra,mi~,somoratsoratra
mikibontana,mi~,kibontana
mibedabeda,mi~,bedabeda
mikiribiby,mi~,kiribiby
mikirikiry,mi~,kirikiry
mikobilabila,mi~,kobilabila
mikobilabilaka,mi~,kobilabilaka
mikodedidedika,mi~,kodedidedika
mitakosona,mi~,takosona
mitalelaka,mi~,talelaka
mikolepadepaka,mi~,kolepadepaka
mitambolimbolina,mi~,tambolimbolina
mitandavana,mi~,tandavana
mikorapadrapaka,mi~,korapadrapaka
mitanjozotra,mi~,tanjozotra
mikotrifantrifana,mi~,kotrifantrifana
mikotringatringa,mi~,kotringatringa
milahasa,mi~,lahasa
mitavontavona,mi~,tavontavona
miempakempaka,mi~,empakempaka
mitokotoko,mi~,tokotoko
mitomandavana,mi~,tomandavana
mitomarataratra,mi~,tomarataratra
mimatimaty,mi~,matimaty
mifalihavanja,mi~,falihavanja
minanenane,mi~,nanenane
mitoriteny,mi~,toriteny
mitsibilabilaka,mi~,tsibilabilaka
mitsilaiko,mi~,tsilaiko
mitsimedameda,mi~,tsimedameda
